deneb_uid	capella_uid	decl	premise	base_succ	base_fail	comb_succ	comb_fail	category	note
0	0	def $filter_list_	-- if X*{X <- X*} matches []	360	156483	63070	28267355	falsifiable-covered	
1	1	def $filter_list_	-- if X*{X <- X*} matches _ :: _	156483	0	28267355	0	unfalsifiable-closing	
3	3	def $filter_list_	-- if ($cond(X_h) = true)	28093	128390	5424460	22842895	falsifiable-covered	
4	4	def $filter_list_	-- if X*{X <- X*} matches _ :: _	128390	0	22842895	0	unfalsifiable-closing	
6	6	def $filter_list_	-- if ($cond(X_h) = false)	128390	0	22842895	0	unfalsifiable-closing	
7	7	def $filter_list_2_	-- if X*{X <- X*} matches []	23408	7384929	10167340	3607426746	falsifiable-covered	
8	8	def $filter_list_2_	-- if X*{X <- X*} matches _ :: _	7384929	0	3607426746	0	unfalsifiable-closing	
10	10	def $filter_list_2_	-- if ($cond(X_h, Y) = true)	5396617	1988312	2477701988	1129724758	falsifiable-covered	
11	11	def $filter_list_2_	-- if X*{X <- X*} matches _ :: _	1988312	0	1129724424	0	unfalsifiable-closing	
13	13	def $filter_list_2_	-- if ($cond(X_h, Y) = false)	1988312	0	1129724424	0	unfalsifiable-closing	
14	14	def $fold_	-- if Y*{Y <- Y*} matches []	9697	868783	1042685	93652880	falsifiable-covered	
15	15	def $fold_	-- if Y*{Y <- Y*} matches _ :: _	868783	0	93652880	0	unfalsifiable-closing	
17	17	def $has_flag	-- if (n >= 8)	0	1256	0	113036	falsifiable-covered	
18	18	def $has_flag	-- if (((participationFlags / $pow2(n)) \ 2) = 1)	147	1109	46836	66200	falsifiable-covered	
20	20	def $add_flag	-- if (n >= 8)	0	1016	0	12881	falsifiable-covered	
21	21	def $add_flag	-- if (((participationFlags / $pow2(n)) \ 2) = 1)	0	1016	0	12881	falsifiable-covered	
23	23	def $max_uint64	-- if (x >= y)	406149	399110	43675943	40296791	falsifiable-covered	
25	25	def $min_uint64	-- if (x <= y)	638	1512	36581	370770	falsifiable-covered	
27	27	def $eth_fast_aggregate_verify	-- if (|blsPubkey*{blsPubkey <- blsPubkey*}| = 0)	535	18	1672	391	falsifiable-covered	
28	28	def $eth_fast_aggregate_verify	-- if (blsSignature = $G2_POINT_AT_INFINITY)	535	0	1496	176	falsifiable-covered	
30	30	def $index_of_pubkey	-- if (validatorIndex, blsPubkey)*{(validatorIndex, blsPubkey) <- (validatorIndex, blsPubkey)*} matches _ :: _	19256958	0	86407595	121	falsifiable-covered	
32	32	def $index_of_pubkey	-- if (blsPubkey_h = blsPubkey_committee)	144004	19112954	523625	85883970	falsifiable-covered	
33	33	def $index_of_pubkey	-- if (validatorIndex, blsPubkey)*{(validatorIndex, blsPubkey) <- (validatorIndex, blsPubkey)*} matches _ :: _	19112954	0	85883970	121	falsifiable-covered	
41	36	def $get_previous_epoch	-- if ($get_current_epoch(state) = $GENESIS_EPOCH)	0	5648	123	3166149	falsifiable-covered	
43	38	def $get_prev_slot	-- if (slot = 0)	0	553	0	2063	falsifiable-covered	
45	40	def $compute_domain	-- if version'?{version' <- version'?} matches (_)	1602	39	23613	2893	falsifiable-covered	
47	42	def $compute_domain	-- if root'?{root' <- root'?} matches (_)	1602	0	23613	0	unfalsifiable-tautology	
49	44	def $compute_domain	-- if version?{version <- version?} matches ()	39	0	2893	0	unfalsifiable-closing	
50	45	def $compute_domain	-- if root?{root <- root?} matches ()	20	19	2135	758	falsifiable-covered	
51	46	def $compute_domain	-- if version'?{version' <- version'?} matches (_)	0	19	0	758	falsifiable-covered	
53	48	def $compute_domain	-- if root?{root <- root?} matches ()	0	0	0	0	unfalsifiable-tautology	
54	49	def $compute_domain	-- if version?{version <- version?} matches ()	19	0	758	0	unfalsifiable-closing	
55	50	def $compute_domain	-- if root'?{root' <- root'?} matches (_)	19	0	758	0	unfalsifiable-closing	
57	52	def $get_domain	-- if epoch?{epoch <- epoch?} matches ()	562	1584	9082	135721	falsifiable-covered	
59	54	def $get_domain	-- if (epoch_cur < state.FORK.EPOCH)	0	562	0	9082	falsifiable-covered	
60	55	def $get_domain	-- if epoch?{epoch <- epoch?} matches ()	562	1584	9082	135721	falsifiable-covered	
63	58	def $get_domain	-- if epoch'?{epoch' <- epoch'?} matches (_)	1584	0	135721	0	unfalsifiable-closing	
65	60	def $get_domain	-- if (epoch < state.FORK.EPOCH)	0	1584	0	135721	falsifiable-covered	
66	61	def $get_domain	-- if epoch'?{epoch' <- epoch'?} matches (_)	1584	0	135721	0	unfalsifiable-closing	
